,Image URL,Apparel Type,Colour
0,https://rukminim1.flixcart.com/image/309/371/kbjox3k0/t-shirt/p/u/8/xl-kart3-04-the-fashionplus-original-imafsvq6ghgnzgu3.jpeg?q=50,shirt,black
1,https://rukminim1.flixcart.com/image/309/371/kbb49zk0/t-shirt/e/z/4/s-fbt-04-farbot-original-imafszk37mpwk7am.jpeg?q=50,shirt,red
2,https://rukminim1.flixcart.com/image/309/371/top/t/c/j/pop269-popnetic-xl-original-imaegy6fnea9u7ta.jpeg?q=50,dress,red
3,https://rukminim1.flixcart.com/image/309/371/k69ncsw0/top/n/v/b/m-96tk2397-selvia-original-imafzrqfydfgztdw.jpeg?q=50,dress,white
4,https://rukminim1.flixcart.com/image/309/371/kflftzk0/top/q/9/4/xl-50tk1091a-selvia-original-imafwysfy5cygzpg.jpeg?q=50,shirt,red
5,https://rukminim1.flixcart.com/image/309/371/k69ncsw0/top/7/h/x/l-96tk2391-selvia-original-imafzrqerzyv7yhn.jpeg?q=50,dress,blue
6,https://rukminim1.flixcart.com/image/309/371/kflftzk0/top/x/w/h/m-61tk2081-selvia-original-imafwyshpvfexjhj.jpeg?q=50,dress,black
7,https://rukminim1.flixcart.com/image/309/371/kbdz5ow0/t-shirt/2/e/j/xl-kart2-06-farbot-original-imafsqxcfpzmztyf.jpeg?q=50,shirt,black
8,https://rukminim1.flixcart.com/image/309/371/k58hwnk0/t-shirt/f/2/k/l-p3-farbot-original-imafnyp3kgufmygy.jpeg?q=50,shirt,black
9,https://rukminim1.flixcart.com/image/309/371/jyj0how0/t-shirt/3/9/z/l-combo-forest-black-forest-white-weft-original-imafgr6vmegbmufh.jpeg?q=50,shirt,black
10,https://rukminim1.flixcart.com/image/309/371/juzuavk0/t-shirt/d/8/z/xl-lid-115-lifeidea-original-imaffxwgyjmrtqg4.jpeg?q=50,dress,black
11,https://rukminim1.flixcart.com/image/309/371/kgcl7680-0/t-shirt/l/f/d/xl-ts145-nvy-xl-hiflyers-original-imafwhsvpxz8ctsn.jpeg?q=50,shirt,blue
12,https://rukminim1.flixcart.com/image/309/371/kdyus280-0/t-shirt/0/9/3/m-hx004-farbot-original-imafure7w6r97kmw.jpeg?q=50,shirt,black
13,https://rukminim1.flixcart.com/image/309/371/kflftzk0-0/t-shirt/9/i/k/s-am-1272-aelomart-original-imafwyfbhq6kfpwu.jpeg?q=50,shirt,green
14,https://rukminim1.flixcart.com/image/309/371/k3uhhu80/shirt/g/z/b/xl-81tk2271-selvia-original-imafmvw4yn7mbhvh.jpeg?q=50,shirt,brown
15,https://rukminim1.flixcart.com/image/309/371/kfa0b680-0/shirt/d/z/1/m-satin-black-as-trend-original-imafvsy6nnhyenzm.jpeg?q=50,shirt,black
16,https://rukminim1.flixcart.com/image/309/371/k6ci8i80/scarf/4/y/a/m-st-650-blue-weavers-villa-original-imafzu4dr39hnhfg.jpeg?q=50,shirt,blue
17,https://rukminim1.flixcart.com/image/309/371/jy3anbk0/sweatshirt/x/n/9/s-panda-hoodie-with-faux-furr-be-savage-original-imaf6jwhgeqazuvm.jpeg?q=50,shirt,black
18,https://rukminim1.flixcart.com/image/309/371/k6ci8i80/kurta/t/9/q/xl-grey-rayon-plain-dailywear-stylish-casual-readymade-kurta-original-imafzt48hkz4hh2s.jpeg?q=50,dress,black
19,https://rukminim1.flixcart.com/image/309/371/k58hwnk0/t-shirt/f/2/k/l-p3-farbot-original-imafnyp3kgufmygy.jpeg?q=50,shirt,black
20,https://rukminim1.flixcart.com/image/309/371/kg2l47k0-0/jean/d/c/g/xl-ap-star-001-apcy-fashion-original-imafweaaghnyzuvh.jpeg?q=50,pants,blue
21,https://rukminim1.flixcart.com/image/309/371/k6xxua80/top/j/m/n/xxs-dn87-clothvilla-original-imafp9ta7fqdgdum.jpeg?q=50,shirt,blue
22,https://rukminim1.flixcart.com/image/309/371/k69ncsw0/top/j/k/8/s-96tk2398-selvia-original-imafzrqemc86paxn.jpeg?q=50,dress,white
23,https://rukminim1.flixcart.com/image/309/371/kgcl7680-0/t-shirt/3/x/q/m-ts145-air-m-hiflyers-original-imafwhsvh7fhqgkh.jpeg?q=50,shirt,blue
24,https://rukminim1.flixcart.com/image/309/371/kfoapow0-0/shirt/7/b/1/xl-cm-st101-cobio-man-original-imafw2gqqtebazpe.jpeg?q=50,shirt,blue
25,https://rukminim1.flixcart.com/image/309/371/k6wiefk0/top/g/w/z/xl-gaurgeous778-black-gaurgeous-original-imafp8w8n68w3wvf.jpeg?q=50,shirt,black
26,https://rukminim1.flixcart.com/image/309/371/k6wiefk0/top/k/7/j/l-gaurgeous778-white-gaurgeous-original-imafp8wkngethbhs.jpeg?q=50,shirt,white
27,https://rukminim1.flixcart.com/image/309/371/kgcl7680-0/t-shirt/r/s/p/s-ts145-grey-s-hiflyers-original-imafwhsv7dmvtxqf.jpeg?q=50,shirt,black
28,https://rukminim1.flixcart.com/image/309/371/kc6jyq80/t-shirt/s/h/i/s-bs01-farbot-original-imaftcttkzxhuzup.jpeg?q=50,shirt,red
29,https://rukminim1.flixcart.com/image/309/371/k58hwnk0/t-shirt/z/4/f/s-p4-farbot-original-imafnyp393xp4um7.jpeg?q=50,shirt,brown
30,https://rukminim1.flixcart.com/image/309/371/k572gsw0/t-shirt/4/2/j/l-p8-farbot-original-imafnxqzjjhte6ex.jpeg?q=50,shirt,blue
31,https://rukminim1.flixcart.com/image/309/371/kg9qbgw0-0/t-shirt/r/l/t/xl-hs1153a-corsair-original-imafwjnsdgskkqzz.jpeg?q=50,shirt,blue
32,https://rukminim1.flixcart.com/image/309/371/j59wyvk0/t-shirt/p/y/b/xl-fs-shiv-grey-young-trendz-original-imaevzstzz6z9hsh.jpeg?q=50,shirt,blue
33,https://rukminim1.flixcart.com/image/309/371/k5o7r0w0/t-shirt/h/y/z/s-f1-farbot-original-imafzaqf9bquahkf.jpeg?q=50,shirt,black
34,https://rukminim1.flixcart.com/image/309/371/kdga1zk0/short/g/8/y/xl-tnvshortabs1-tripr-original-imafuccyk5tp66gb.jpeg?q=50,shorts,blue
35,https://rukminim1.flixcart.com/image/309/371/kar44280/t-shirt/3/g/r/3xl-sdm135-arbour-original-imafs97jnumm5azg.jpeg?q=50,shirt,black
36,https://rukminim1.flixcart.com/image/309/371/khcb7gw0/kurta/f/i/y/xl-k191-xl-kurtis-below-200-long-kurti-kurta-designer-kurtis-original-imafxdkf3f9ny7yz.jpeg?q=50,dress,black
37,https://rukminim1.flixcart.com/image/309/371/khcb7gw0/jacket/t/h/f/xxl-oct03-s-stylemyth-original-imafxdbbctzcrmy2.jpeg?q=50,dress,blue
38,https://rukminim1.flixcart.com/image/309/371/k612pow0/kurta/j/h/t/xxl-kurta0187green-styleee-original-imafzk9rbc5mxenj.jpeg?q=50,pants,blue
39,https://rukminim1.flixcart.com/image/309/371/k6b2snk0/t-shirt/r/g/z/xl-sdm0633-red-arbour-original-imafzrn5f7tgpsuq.jpeg?q=50,shirt,red
